ligand_null
name ;database id;canonical smiles;isomeric smiles;inchi;inchikey;formula;mw;hba;hbd;tpsa;rb;fp3;logp;violates_ro5;pubchem;chembl;zinc
mexiletine;;"
CC1=C(C(=CC=C1)C)OCC(C)N
";;;;;179.26;2;1;35.2;3;;2.1;;;;
"
naloxegol
";;COCCOCCOCCOCCOCCOCCOCCOC1CCC2(C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3CC=C)O;;;;;651.8;12;2;127;24;;-1;;;;
"
sofosbuvir
";;CC(C)OC(=O)C(C)NP(=O)(OCC1C(C(C(O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3;;;;;529.5;11;3;153;11;;1;;;;
"
panobinostat

";;CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO;;;FPOHNWQLNRZRFC-ZHACJKMWSA-N;;349.4 ;3;4;77.2;7;;3;;;;
Acarbose;;CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO;;"InChI=1S/C25H43NO18/c1-6-11(26-8-2-7(3-27)12(30)15(33)13(8)31)14(32)19(37)24(40-6)43-22-10(5-29)42-25(20(38)17(22)35)44-21-9(4-28)41-23(39)18(36)16(21)34/h2,6,8-39H,3-5H2,1H3/t6-,8+,9-,10-,11-,12-,13+,14+,15+,16-,17-,18-,19-,20-,21-,22-,23?,24-,25-/m1/s1
";XUFXOAAUWZOOIT-UGEKTDRHSA-N;C25H43NO18;645.6;19;14;321;9;;-8.5;;;;
"alizapride 
";;COC1=CC2=C(C=C1C(=O)NCC3CCCN3CC=C)NN=N2;;;;;315.37;5;2;83.1;6;;1.6;;;;
"atazanavir
";;CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC;;;;;704.9;9;5;171;18;;5.6;;;;
"carvedilol
";;COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O;;;;;406.5;5;3;75.7;10;;4.2;;;;
"ethinamate
";;C#CC1(CCCCC1)OC(=O)N;;;;;167.20;2;1;52.3;3;;1.3;;;;
"olutasidenib

";;CC(C1=CC2=C(C=CC(=C2)Cl)NC1=O)NC3=CC=C(N(C3=O)C)C#N;;;;;354.8;4;2;85.2;3;;2.5;;;;
"forasartan
";;CCCCC1=NN(C(=N1)CCCC)CC2=CN=C(C=C2)C3=CC=CC=C3C4=NNN=N4;;;;;416.5;6;1;98.1;10;;4.9;;;;
"gemifloxacin
";;CON=C1CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F;;;;;389.4;10;2;121;5;;-0.7;;;;
"imatinib
";;CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5;;;;;493.6 ;7;2;86.3;7;;3.5;;;;
"latamoxef
";;CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C(C4=CC=C(C=C4)O)C(=O)O)OC)OC2)C(=O)O;;;;;520.5;13;4;232;9;;-0.6;;;;
"maribavir
";;CC(C)NC1=NC2=CC(=C(C=C2N1C3C(C(C(O3)CO)O)O)Cl)Cl;;;;;376.2;6;4;99.8;4;;2.2;;;;
narlaprevir ;;CCCCC(C(=O)C(=O)NC1CC1)NC(=O)C2C3C(C3(C)C)CN2C(=O)C(C(C)(C)C)NC(=O)NC4(CCCCC4)CS(=O)(=O)C(C)(C)C;;;;;708.0;7;4;179;15;;5.4;;;;
"paroxetine
";;C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4;;;;;329.4;5;1;39.7;4;;3.5;;;;
"
riluzole

";;C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N;;;;;234.20;7;1;76.4;1;;3.6;;;;
"tizanidine
";;C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl;;;;;253.71;4;2;90.4;2;;1.1;;;;
"vardenafil
";;CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C;;;;;488.6;8;1;118;8;;2.5;;;;
carindacillin;;CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC5=C(CCC5)C=C4)C(=O)O)C;;;;;494.6;7;2;138;7;;3.8;;;;
cefaclor;;C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl;;;;;367.8;6;3;138;4;;-1.8;;;;
glyburide;;COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3;;;;;494.0;5;3;122;8;;4.8;;;;
darunavir;;CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N;;;;;547.7;9;3;149;12;;2.9;;;;
dexrazoxane;;CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2;;;;;268.27;6;2;98.8;3;;-1.4;;;;
Difenidol;;C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O;;;;;309.4;2;1;23.5;6;;4.2;;;;
elvitegravir;;CC(C)C(CO)N1C=C(C(=O)C2=C1C=C(C(=C2)CC3=C(C(=CC=C3)Cl)F)OC)C(=O)O;;;;;447.9;7;2;87.1;7;;5.3;;;;
enalapril;;CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O;;;;;376.4;6;2;95.9;10;;-0.1;;;;
esaxerenone;;CC1=C(N(C=C1C(=O)NC2=CC=C(C=C2)S(=O)(=O)C)CCO)C3=CC=CC=C3C(F)(F)F;;;;;466.5;7;2;96.8;6;;2.9;;;;
nisoldipine;;CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC;;;;;388.4;7;1;110;7;;3.3;;;;
